대여소_ID,대여소명,시간대,시간대그룹,평일주말,월,계절,기본예상대여수요,기본예상반납수요,평균총이용건수,평균순유출량,표본수
ST-1969,국회3문,0,심야,주말,2,겨울,2.0,2.0,4.0,0.0,1
ST-1969,국회3문,0,심야,주말,3,봄,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,0,심야,주말,6,여름,0.75,1.75,2.5,-1.0,4
ST-1969,국회3문,0,심야,주말,8,여름,0.3333333333333333,2.333333333333333,2.666666666666667,-2.0,3
ST-1969,국회3문,0,심야,주말,9,가을,1.5,3.0,4.5,-1.5,2
ST-1969,국회3문,0,심야,주말,11,가을,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,0,심야,주말,12,겨울,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,0,심야,평일,1,겨울,3.0,0.5,3.5,2.5,2
ST-1969,국회3문,0,심야,평일,2,겨울,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,0,심야,평일,4,봄,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,0,심야,평일,5,봄,1.333333333333333,0.6666666666666666,2.0,0.6666666666666666,9
ST-1969,국회3문,0,심야,평일,6,여름,2.0,0.6666666666666666,2.666666666666667,1.333333333333333,3
ST-1969,국회3문,0,심야,평일,7,여름,0.5,1.5,2.0,-1.0,2
ST-1969,국회3문,0,심야,평일,8,여름,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,0,심야,평일,9,가을,1.333333333333333,0.3333333333333333,1.666666666666667,1.0,3
ST-1969,국회3문,0,심야,평일,10,가을,2.0,0.0,2.0,2.0,2
ST-1969,국회3문,0,심야,평일,11,가을,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,0,심야,평일,12,겨울,0.0,4.0,4.0,-4.0,1
ST-1969,국회3문,1,심야,주말,3,봄,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,1,심야,주말,6,여름,0.5,0.5,1.0,0.0,2
ST-1969,국회3문,1,심야,주말,7,여름,1.333333333333333,1.0,2.333333333333333,0.3333333333333333,3
ST-1969,국회3문,1,심야,주말,8,여름,1.0,0.3333333333333333,1.333333333333333,0.6666666666666666,3
ST-1969,국회3문,1,심야,주말,9,가을,2.0,1.0,3.0,1.0,1
ST-1969,국회3문,1,심야,주말,11,가을,0.5,0.5,1.0,0.0,2
ST-1969,국회3문,1,심야,평일,1,겨울,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,1,심야,평일,4,봄,0.6666666666666666,1.0,1.666666666666667,-0.3333333333333333,3
ST-1969,국회3문,1,심야,평일,5,봄,0.3333333333333333,1.0,1.333333333333333,-0.6666666666666666,3
ST-1969,국회3문,1,심야,평일,6,여름,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,1,심야,평일,7,여름,1.0,0.5,1.5,0.5,2
ST-1969,국회3문,1,심야,평일,8,여름,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,1,심야,평일,9,가을,1.5,1.0,2.5,0.5,2
ST-1969,국회3문,1,심야,평일,10,가을,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,2,심야,주말,3,봄,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,2,심야,주말,8,여름,1.0,0.5,1.5,0.5,2
ST-1969,국회3문,2,심야,주말,9,가을,1.0,0.3333333333333333,1.333333333333333,0.6666666666666666,3
ST-1969,국회3문,2,심야,주말,11,가을,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,2,심야,평일,1,겨울,6.0,0.0,6.0,6.0,1
ST-1969,국회3문,2,심야,평일,4,봄,0.25,1.25,1.5,-1.0,4
ST-1969,국회3문,2,심야,평일,5,봄,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,2,심야,평일,7,여름,1.0,1.0,2.0,0.0,2
ST-1969,국회3문,2,심야,평일,9,가을,1.0,2.0,3.0,-1.0,1
ST-1969,국회3문,2,심야,평일,10,가을,1.333333333333333,0.3333333333333333,1.666666666666667,1.0,3
ST-1969,국회3문,2,심야,평일,12,겨울,2.0,2.0,4.0,0.0,1
ST-1969,국회3문,3,심야,주말,3,봄,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,3,심야,주말,8,여름,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,3,심야,평일,3,봄,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,3,심야,평일,4,봄,1.0,1.333333333333333,2.333333333333333,-0.3333333333333333,3
ST-1969,국회3문,3,심야,평일,5,봄,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,3,심야,평일,7,여름,2.0,1.0,3.0,1.0,2
ST-1969,국회3문,3,심야,평일,9,가을,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,3,심야,평일,10,가을,2.0,1.0,3.0,1.0,1
ST-1969,국회3문,4,심야,주말,8,여름,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,4,심야,평일,5,봄,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,4,심야,평일,9,가을,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,4,심야,평일,10,가을,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,4,심야,평일,12,겨울,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,5,심야,주말,7,여름,1.0,1.0,2.0,0.0,1
ST-1969,국회3문,5,심야,주말,8,여름,0.0,4.0,4.0,-4.0,1
ST-1969,국회3문,5,심야,주말,11,가을,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,5,심야,평일,1,겨울,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,5,심야,평일,7,여름,2.0,2.0,4.0,0.0,1
ST-1969,국회3문,5,심야,평일,9,가을,0.5,1.0,1.5,-0.5,2
ST-1969,국회3문,5,심야,평일,10,가을,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,5,심야,평일,11,가을,0.0,1.0,1.0,-1.0,1
ST-1969,국회3문,5,심야,평일,12,겨울,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,6,출근시간,주말,7,여름,1.0,1.0,2.0,0.0,1
ST-1969,국회3문,6,출근시간,주말,8,여름,1.333333333333333,1.333333333333333,2.666666666666667,0.0,3
ST-1969,국회3문,6,출근시간,주말,9,가을,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,6,출근시간,평일,1,겨울,1.6,0.2,1.8,1.4,5
ST-1969,국회3문,6,출근시간,평일,2,겨울,1.166666666666667,0.0,1.166666666666667,1.166666666666667,6
ST-1969,국회3문,6,출근시간,평일,3,봄,1.0,0.3333333333333333,1.333333333333333,0.6666666666666666,3
ST-1969,국회3문,6,출근시간,평일,4,봄,0.1428571428571428,1.714285714285714,1.857142857142857,-1.571428571428571,7
ST-1969,국회3문,6,출근시간,평일,5,봄,0.0,1.181818181818182,1.181818181818182,-1.181818181818182,11
ST-1969,국회3문,6,출근시간,평일,6,여름,0.0,1.0,1.0,-1.0,4
ST-1969,국회3문,6,출근시간,평일,7,여름,0.5,1.0,1.5,-0.5,4
ST-1969,국회3문,6,출근시간,평일,8,여름,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,6,출근시간,평일,9,가을,0.5,1.5,2.0,-1.0,4
ST-1969,국회3문,6,출근시간,평일,10,가을,1.0,1.0,2.0,0.0,1
ST-1969,국회3문,6,출근시간,평일,11,가을,0.0,1.166666666666667,1.166666666666667,-1.166666666666667,6
ST-1969,국회3문,6,출근시간,평일,12,겨울,0.0625,1.25,1.3125,-1.1875,16
ST-1969,국회3문,7,출근시간,주말,4,봄,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,7,출근시간,주말,6,여름,1.0,1.0,2.0,0.0,2
ST-1969,국회3문,7,출근시간,주말,8,여름,0.5,1.0,1.5,-0.5,2
ST-1969,국회3문,7,출근시간,주말,9,가을,0.5,1.0,1.5,-0.5,2
ST-1969,국회3문,7,출근시간,주말,10,가을,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,7,출근시간,주말,11,가을,1.0,0.0,1.0,1.0,1
ST-1969,국회3문,7,출근시간,평일,1,겨울,1.2,0.6,1.8,0.6,5
ST-1969,국회3문,7,출근시간,평일,2,겨울,1.0,0.6666666666666666,1.666666666666667,0.3333333333333333,9
ST-1969,국회3문,7,출근시간,평일,3,봄,0.6,1.0,1.6,-0.4,5
ST-1969,국회3문,7,출근시간,평일,4,봄,1.090909090909091,2.363636363636364,3.454545454545455,-1.272727272727273,11
ST-1969,국회3문,7,출근시간,평일,5,봄,0.9090909090909091,2.090909090909091,3.0,-1.181818181818182,11
ST-1969,국회3문,7,출근시간,평일,6,여름,0.4545454545454545,2.272727272727273,2.727272727272727,-1.818181818181818,11
ST-1969,국회3문,7,출근시간,평일,7,여름,1.0,2.9,3.9,-1.9,10
ST-1969,국회3문,7,출근시간,평일,8,여름,1.2,2.0,3.2,-0.8,5
ST-1969,국회3문,7,출근시간,평일,9,가을,1.111111111111111,0.6666666666666666,1.777777777777778,0.4444444444444444,9
ST-1969,국회3문,7,출근시간,평일,10,가을,1.571428571428571,0.4285714285714285,2.0,1.142857142857143,7
ST-1969,국회3문,7,출근시간,평일,11,가을,0.2,1.2,1.4,-1.0,5
ST-1969,국회3문,7,출근시간,평일,12,겨울,0.5333333333333333,1.466666666666667,2.0,-0.9333333333333333,15
ST-1969,국회3문,8,출근시간,주말,5,봄,2.0,2.0,4.0,0.0,1
ST-1969,국회3문,8,출근시간,주말,6,여름,1.5,0.0,1.5,1.5,2
ST-1969,국회3문,8,출근시간,주말,7,여름,1.5,1.0,2.5,0.5,2
ST-1969,국회3문,8,출근시간,주말,8,여름,0.6666666666666666,1.666666666666667,2.333333333333333,-1.0,3
ST-1969,국회3문,8,출근시간,주말,9,가을,0.0,1.5,1.5,-1.5,2
ST-1969,국회3문,8,출근시간,주말,10,가을,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,8,출근시간,주말,11,가을,1.0,1.5,2.5,-0.5,2
ST-1969,국회3문,8,출근시간,주말,12,겨울,2.0,1.0,3.0,1.0,2
ST-1969,국회3문,8,출근시간,평일,1,겨울,1.076923076923077,2.153846153846154,3.230769230769231,-1.076923076923077,13
ST-1969,국회3문,8,출근시간,평일,2,겨울,1.0,1.733333333333333,2.733333333333333,-0.7333333333333333,15
ST-1969,국회3문,8,출근시간,평일,3,봄,2.235294117647059,2.647058823529412,4.882352941176471,-0.4117647058823529,17
ST-1969,국회3문,8,출근시간,평일,4,봄,4.071428571428571,4.142857142857143,8.214285714285714,-0.07142857142857142,14
ST-1969,국회3문,8,출근시간,평일,5,봄,4.842105263157895,3.736842105263158,8.578947368421053,1.105263157894737,19
ST-1969,국회3문,8,출근시간,평일,6,여름,4.611111111111111,7.277777777777778,11.88888888888889,-2.666666666666667,18
ST-1969,국회3문,8,출근시간,평일,7,여름,5.3,4.65,9.95,0.65,20
ST-1969,국회3문,8,출근시간,평일,8,여름,4.052631578947368,4.315789473684211,8.368421052631579,-0.2631578947368421,19
ST-1969,국회3문,8,출근시간,평일,9,가을,3.066666666666667,1.8,4.866666666666666,1.266666666666667,15
ST-1969,국회3문,8,출근시간,평일,10,가을,3.0,0.9333333333333333,3.933333333333333,2.066666666666667,15
ST-1969,국회3문,8,출근시간,평일,11,가을,3.058823529411764,1.705882352941176,4.764705882352941,1.352941176470588,17
ST-1969,국회3문,8,출근시간,평일,12,겨울,4.0,2.714285714285714,6.714285714285714,1.285714285714286,21
ST-1969,국회3문,9,출근시간,주말,4,봄,0.0,2.0,2.0,-2.0,1
ST-1969,국회3문,9,출근시간,주말,5,봄,3.0,1.0,4.0,2.0,2
ST-1969,국회3문,9,출근시간,주말,6,여름,1.333333333333333,0.0,1.333333333333333,1.333333333333333,3
ST-1969,국회3문,9,출근시간,주말,7,여름,1.0,0.6666666666666666,1.666666666666667,0.3333333333333333,3
ST-1969,국회3문,9,출근시간,주말,8,여름,1.0,0.6666666666666666,1.666666666666667,0.3333333333333333,3
ST-1969,국회3문,9,출근시간,주말,9,가을,2.5,1.0,3.5,1.5,2
ST-1969,국회3문,9,출근시간,주말,10,가을,1.333333333333333,2.0,3.333333333333333,-0.6666666666666666,3
ST-1969,국회3문,9,출근시간,주말,11,가을,0.5,1.25,1.75,-0.75,4
ST-1969,국회3문,9,출근시간,주말,12,겨울,4.0,2.0,6.0,2.0,1
ST-1969,국회3문,9,출근시간,평일,1,겨울,1.5,0.75,2.25,0.75,4
ST-1969,국회3문,9,출근시간,평일,2,겨울,2.0,0.0,2.0,2.0,1
ST-1969,국회3문,9,출근시간,평일,3,봄,1.0,0.5,1.5,0.5,4
ST-1969,국회3문,9,출근시간,평일,4,봄,2.4,1.6,4.0,0.8,5
ST-1969,국회3문,9,출근시간,평일,5,봄,1.0,1.181818181818182,2.181818181818182,-0.1818181818181818,11
ST-1969,국회3문,9,출근시간,평일,6,여름,1.857142857142857,1.642857142857143,3.5,0.2142857142857143,14
ST-1969,국회3문,9,출근시간,평일,7,여름,1.363636363636364,0.9090909090909091,2.272727272727273,0.4545454545454545,11
ST-1969,국회3문,9,출근시간,평일,8,여름,1.1,0.7,1.8,0.4,10
ST-1969,국회3문,9,출근시간,평일,9,가을,1.5,0.75,2.25,0.75,8
ST-1969,국회3문,9,출근시간,평일,10,가을,0.75,0.875,1.625,-0.125,8
ST-1969,국회3문,9,출근시간,평일,11,가을,0.6363636363636364,1.818181818181818,2.454545454545455,-1.181818181818182,11
ST-1969,국회3문,9,출근시간,평일,12,겨울,1.181818181818182,1.181818181818182,2.363636363636364,0.0,11
ST-1969,국회3문,10,낮시간,주말,2,겨울,0.0,2.0,2.0,-2.0,1
