대여소_ID,대여소명
ST-1969,국회3문
ST-1970,KBS 연구동 건너편
ST-1971,여의도 순복음교회
ST-2643, 국회의사당 본관
ST-2644,국회제2의원회관
ST-2645, 국회소통관
ST-2646, 국회도서관
ST-2647, 의정관
ST-2648, 국회2문
ST-2694, 국회6문
ST-2813, 여의도 은하아파트
ST-2814, 63스퀘어
ST-2899, KRX한국거래소(1)
ST-296, 초원아파트 앞
ST-297, 여의도중학교 옆
ST-3061, 여의도역2번출구 앞
ST-3160, 여의도 삼부아파트
ST-3239,LG트윈타워 앞
ST-3315,우리은행 앞
ST-3318,국회도서관 2문 앞
ST-3319,국회박물관
ST-3375,여의도성당
ST-3377,의원회관 출입구 앞
ST-3383,국회의사당 본관 좌측
ST-3397,한국산업은행
ST-3401,여의나루역 3번출구
ST-3402,한강버스 여의도 선착장
ST-414, 여의도 마리나선착장 앞
ST-424, 증권거래소후문교차로
ST-425, 샛강생태공원방문자센터 앞
ST-45, 국회의원회관
ST-46, 진미파라곤 앞
ST-47, 국민일보 앞
ST-50, 국회의사당역 5번출구 옆
ST-51, 국회의사당역 3번출구 옆
ST-52, 산업은행 앞
ST-53, KBS 앞
ST-55, 유진투자증권빌딩 앞
ST-57, 여의도역 4번출구 옆
ST-59, KT앞
ST-60, 금융감독원 앞
ST-62, 롯데캐슬엠파이어 옆
ST-63, 미성아파트 A동 앞
ST-64, 여의도고교 앞
ST-66, NH농협은행 앞
ST-67, 여의도초교 앞
ST-68, 시범아파트버스정류장 옆
ST-69, 진주아파트상가 앞
ST-70, 롯데캐슬 앞
ST-71, 앙카라공원 앞
ST-72, 샛강역 1번출구 앞
ST-73, 여의나루역 1번출구 앞
